"replicate","method","c1","c2","n_optima","empty_middle","BA_boot","BA_original","optimism"
92,"Distance",-1.63101374575,2.5206185565,1,FALSE,0.682662729174357,0.66713424387843,0.0155284852959272
93,"Youden",-0.69029209625,0.6112542955,2,FALSE,0.752208687092408,0.697231450719823,0.0549772363725851
93,"Distance",-1.220790378,0.6112542955,1,FALSE,0.723612649194045,0.683450227636274,0.0401624215577704
94,"Youden",-1.63101374575,0.6112542955,1,FALSE,0.730281776793405,0.692235757352036,0.0380460194413682
94,"Distance",-1.63101374575,0.6112542955,1,FALSE,0.730281776793405,0.692235757352036,0.0380460194413682
95,"Youden",-1.63101374575,0.858247423,1,FALSE,0.74509659160822,0.691866617448013,0.0532299741602067
95,"Distance",-1.63101374575,0.858247423,1,FALSE,0.74509659160822,0.691866617448013,0.0532299741602067
96,"Youden",-0.69029209625,2.681701031,2,FALSE,0.671071736188015,0.664008859357697,0.0070628768303187
96,"Distance",-1.56872852235,2.681701031,1,FALSE,0.658324104835733,0.651261228005414,0.0070628768303187
97,"Youden",-1.63101374575,0.759450172,1,FALSE,0.748246585455888,0.684114679463517,0.0641319059923711
97,"Distance",-1.63101374575,0.759450172,1,FALSE,0.748246585455888,0.684114679463517,0.0641319059923711
98,"Youden",-0.69029209625,2.056701031,2,FALSE,0.695041220622616,0.680251015134736,0.0147902054878799
98,"Distance",-1.63101374575,2.056701031,1,FALSE,0.674541651285837,0.67525532176695,-0.000713670481112372
99,"Youden",-0.07817869415,0.858247423,2,FALSE,0.727205610926541,0.680669373692629,0.0465362372339116
99,"Distance",-1.63101374575,0.858247423,1,FALSE,0.722554448135843,0.691866617448013,0.0306878306878307
100,"Youden",-1.220790378,2.5206185565,1,FALSE,0.73557278208441,0.658348714162668,0.0772240679217424
100,"Distance",-1.220790378,2.5206185565,1,FALSE,0.73557278208441,0.658348714162668,0.0772240679217424
101,"Youden",-0.6387457045,0.858247423,1,FALSE,0.743029408145687,0.696862310815799,0.046167097329888
101,"Distance",-1.4742268041,0.858247423,1,FALSE,0.730626307370493,0.691522086870924,0.0391042204995693
102,"Youden",-0.69029209625,0.6112542955,2,FALSE,0.682072105327919,0.697231450719823,-0.0151593453919036
102,"Distance",-0.69029209625,2.056701031,2,FALSE,0.680964685615848,0.680251015134736,0.000713670481112372
103,"Youden",-0.3316151203,0.858247423,1,FALSE,0.729322013042943,0.69651778023871,0.0328042328042328
103,"Distance",-1.3711340206,2.5206185565,1,FALSE,0.684090070136582,0.658693244739756,0.0253968253968254
104,"Youden",-0.6387457045,0.858247423,1,FALSE,0.743398548049711,0.696862310815799,0.0465362372339116
104,"Distance",-1.4742268041,0.858247423,1,FALSE,0.723243509290021,0.691522086870924,0.0317214224190968
105,"Youden",-0.3316151203,0.806701031,1,FALSE,0.680300233788606,0.69651778023871,-0.0162175464501045
105,"Distance",-1.63101374575,0.806701031,1,FALSE,0.653426848775686,0.691866617448013,-0.0384397686723268
106,"Youden",-1.220790378,-0.80627147765,4,FALSE,0.675796726959518,0.630663221360896,0.0451335055986218
106,"Distance",-1.98969072165,0.6112542955,1,FALSE,0.621705426356589,0.655543250892088,-0.033837824535499
107,"Youden",-0.07817869415,1.47895189,2,FALSE,0.712021656207703,0.66442721791559,0.0475944382921127
107,"Distance",-1.01030927835,2.056701031,1,FALSE,0.677027193306263,0.673532668881506,0.00349452442475695
108,"Youden",-1.01030927835,1.3737113405,1,FALSE,0.736335671219392,0.67390180878553,0.0624338624338624
108,"Distance",-1.4742268041,1.3737113405,1,FALSE,0.722898978712932,0.675279931093885,0.0476190476190476
109,"Youden",-0.3316151203,0.609106529,1,FALSE,0.774800049218654,0.696886920142734,0.0779131290759197
109,"Distance",-1.57731958765,2.7246563575,1,FALSE,0.759862187769164,0.651261228005414,0.10860095976375
110,"Youden",-0.6387457045,2.058848797,1,FALSE,0.758877814691768,0.680251015134736,0.0786267995570321
110,"Distance",-1.63101374575,2.058848797,1,FALSE,0.730970837947582,0.67525532176695,0.0557155161806324
111,"Youden",-1.4742268041,0.6112542955,1,FALSE,0.721176325827489,0.691891226774948,0.0292850990525408
